,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
0, 12:20 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545767'], GIRONA LA VALL D'EN BAS ,  C-37 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-37   a la altura de LA VALL D'EN BAS (GIRONA) desde el  km 172 al  km 170.5 sentido NORTE hacia ENLLAÇ AMB C-152 
1, 12:09 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545783'], GIRONA BORRASSA ,  C-26 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-26   a la altura de BORRASSA (GIRONA) desde el  km 270 al  km 269 sentido NORTE hacia ENLLAÇM AMB N-II 
2, 12:08 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545785'], GIRONA VILAMALLA ,  N-II ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   N-II   a la altura de VILAMALLA (GIRONA) desde el  km 750 al  km 748 sentido NORTE hacia FRANÇA 
3, 12:03 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545780'], GIRONA HOSTALRIC ,  C-35 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-35   a la altura de HOSTALRIC (GIRONA) desde el  km 71 al  km 69 sentido NORTE hacia LLAGOSTERA 
4, 12:01 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545779'], GIRONA MAÇANET DE LA SELVA ,  N-II ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   N-II   a la altura de MAÇANET DE LA SELVA (GIRONA) desde el  km 689 al  km 685 sentido NORTE hacia GIRONA 
5, 11:59 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545679'], GIRONA BLANES ,  GI-600 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   GI-600   a la altura de BLANES (GIRONA) desde el  km 4 al  km 0 sentido SUR hacia ENLLAÇ AMB GI-682 
6, 11:57 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545678'], GIRONA LLORET DE MAR ,  C-63 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-63   a la altura de LLORET DE MAR (GIRONA) desde el  km 0 al  km 2 sentido SUR hacia PLATGES I ENLLAÇ AMB GI-682 
7, 11:54 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545771'], GIRONA LLAGOSTERA ,  C-35 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-35   a la altura de LLAGOSTERA (GIRONA) desde el  km 100 al  km 99 sentido NORTE hacia ENLLAÇ AMB C-65 
8, 11:53 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545759'], GIRONA LLAGOSTERA ,  C-65 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-65   a la altura de LLAGOSTERA (GIRONA) desde el  km 7.5 al  km 11 sentido NORTE hacia SANT FELIU DE GUÍXOLS 
9, 11:14 30/03/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1545652'], GIRONA RIPOLL ,  C-17 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-17   a la altura de RIPOLL (GIRONA) desde el  km 92 al  km 88 sentido NORTE hacia RIBES DE FRESER 
10, 10:19 30/03/2018 ,  ,['OTROS / Nivel Verde / 1545650'], GIRONA LES PRESES ,  C-152 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-152   a la altura de LES PRESES (GIRONA) desde el  km 44.4 al  km 45.5 sentido AMBOS SENTIDOS 
11, 08:52 30/03/2018 ,  ,['OTROS / Nivel Verde / 1545514'], GIRONA CASTELL-PLATJA D'ARO ,  GI-662 ,   DESCONOCIDA por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   GI-662   a la altura de CASTELL-PLATJA D'ARO (GIRONA) desde el  km 3.8 al  km 4.7 sentido NORTE hacia CASTELL-PLATJA D'ARO 
